pos,players,team,rating
1,Mohammad Rizwan,PAK,836
2,Devon Conway,NZ,788
3,Babar Azam,PAK,778
4,Aiden Markram,SA,748
5,Dawid Malan,ENG,719
6,Rilee Rossouw,SA,693
7,Aaron Finch,AUS,680
8,Glenn Phillips,NZ,676
9,Alex Hales,ENG,655
10,Jos Buttler,ENG,652
11,Pathum Nissanka,SL,643
12,Muhammad Waseem,UAE,626
13,Virat Kohli,IND,618
14,Quinton de Kock,SA,614
15,Rahmanullah Gurbaz,AFG,598
16,Brandon King,WI,583
17,Nicholas Pooran,WI,582
18,Finn Allen,NZ,579
19,Reeza Hendricks,SA,579
20,George Munsey,SCO,572
21,Rassie van der Dussen,SA,565
22,Richard Berrington,SCO,558
23,Hazratullah,AFG,556
24,Lokesh Rahul,IND,554
25,Martin Guptill,NZ,553
26,Mitchell Marsh,AUS,552
27,Rohit Sharma,IND,551
28,Daryl Mitchell,NZ,544
29,David Miller,SA,542
30,Litton Das,BAN,541
31,Paul Stirling,IRE,541
32,Kariyawasa Asalanka,SL,539
33,Kusal Mendis,SL,530
34,Glenn Maxwell,AUS,527
35,Najibullah Zadran,AFG,524
36,David Warner,AUS,521
37,Marcus Stoinis,AUS,519
38,Tony Ura,PNG,519
39,Kane Williamson,NZ,518
40,Bhanuka Rajapaksa,SL,517
41,Dasun Shanaka,SL,517
42,Max O'Dowd,NED,517
43,Ben Duckett,ENG,512
44,Ishan Kishan,IND,511
45,Ibrahim Zadran,AFG,508
46,Moeen Ali,ENG,507
47,Afif Hossain,BAN,498
48,Andrew Balbirnie,IRE,484
49,Jason Roy,ENG,482
50,Kushal Bhurtel,NEP,478
51,Iftikhar Ahmed,PAK,478
52,Hardik Pandya,IND,477
53,Rovman Powell,WI,475
54,Mohammad Nabi,AFG,471
55,Heinrich Klaasen,SA,470
56,Shan Masood,PAK,469
57,Dipendra Airee,NEP,466
58,Navneet Dhaliwal,CAN,460
59,Gerhard Erasmus,NAM,458
60,Shakib Al Hasan,BAN,455
61,Jonny Bairstow,ENG,454
62,Mahmudullah,BAN,452
63,Shreyas Iyer,IND,451
64,Matthew Wade,AUS,448
65,Evin Lewis,WI,440
66,Mohammad Naim,BAN,439
67,Wesley Madhevere,ZIM,432
68,Kyle Mayers,WI,431
69,Harry Brook,ENG,429
70,Jatinder Singh,OMA,427
71,Rayyan Pathan,CAN,427
72,Zeeshan Maqsood,OMA,426
73,Lorcan Tucker,IRE,425
74,Craig Williams,NAM,422
75,Sikandar Raza,ZIM,418
76,Sean Williams,ZIM,418
77,Temba Bavuma,SA,416
78,J.J. Smit,NAM,409
79,Ben Cooper,NED,407
80,Matthew Cross,SCO,404
81,Fakhar Zaman,PAK,399
82,Nazmul Shanto,BAN,398
83,Aaron Johnson,CAN,397
84,Liam Livingstone,ENG,396
85,Craig Ervine,ZIM,394
86,Colin Ackermann,NED,393
87,Sese Bau,PNG,393
88,Usman Ghani,AFG,393
89,Stephan Baard,NAM,389
90,Chirag Suri,UAE,389
91,Ryan Burl,ZIM,387
92,Vriitya Aravind,UAE,386
93,Rishabh Pant,IND,386
94,Dhananjaya de Silva,SL,384
95,Harry Tector,IRE,383
96,Muhammad Usman,UAE,375
97,Shimron Hetmyer,WI,374
98,Norman Vanua,PNG,371
99,Delray Rawlins,BRM,360
